exp_rep, bfly, algo, time, iterations
6, fes, 2023281460091.60, 25.87, 36159
6, fes, 2031238188234.20, 26.47, 37042
6, fes, 2027372336052.02, 27.07, 37927
6, fes, 2029142173118.42, 27.67, 38832
6, fes, 2023989647841.81, 28.27, 39704
6, fes, 2019753688985.06, 28.87, 40574
6, fes, 2014315668063.44, 29.47, 41469
6, fes, 2011851163087.63, 30.07, 42319
6, fes, 2010808123274.85, 30.67, 43178
6, fes, 2009408927190.60, 31.27, 44049
6, fes, 2011363780178.33, 31.87, 44935
6, fes, 2018518055327.80, 32.48, 45837
6, fes, 2016178827176.83, 33.09, 46767
6, fes, 2014645101178.11, 33.70, 47681
6, fes, 2020857144870.96, 34.31, 48579
6, fes, 2024818747433.85, 34.92, 49488
6, fes, 2022963786578.09, 35.53, 50410
6, fes, 2021356867411.34, 36.14, 51328
6, fes, 2016779863192.53, 36.75, 52215
6, fes, 2019628966728.10, 37.36, 53118
6, fes, 2014097214283.52, 37.97, 54033
6, fes, 2018235947554.35, 38.58, 54906
6, fes, 2024096790177.80, 39.19, 55759
6, fes, 2027325800093.14, 39.80, 56631
6, fes, 2029553478325.32, 40.41, 57475
6, fes, 2024159767284.38, 41.02, 58328
6, fes, 2020314932664.21, 41.63, 59169
6, fes, 2022380051669.46, 42.24, 60005
6, fes, 2022769342015.14, 42.85, 60822
6, fes, 2025029450249.64, 43.46, 61667
6, fes, 2028377177093.03, 44.07, 62496
6, fes, 2028144588081.20, 44.68, 63308
6, fes, 2033835038126.22, 45.29, 64124
6, fes, 2035211845931.66, 45.90, 64954
6, fes, 2041555621041.79, 46.51, 65780
6, fes, 2044332647408.98, 47.12, 66649
6, fes, 2047761397372.89, 47.73, 67473
6, fes, 2044475295842.99, 48.34, 68317
6, fes, 2044961770161.26, 48.95, 69183
6, fes, 2046421336951.04, 49.56, 70008
6, fes, 2044628888806.32, 50.17, 70813
6, fes, 2043902608268.51, 50.78, 71632
6, fes, 2042576079830.36, 51.39, 72417
6, fes, 2040878408840.03, 52.00, 73228
6, fes, 2042571746540.77, 52.61, 74032
6, fes, 2040150568439.82, 53.22, 74886
6, fes, 2041217331260.33, 53.83, 75732
6, fes, 2039956359906.88, 54.44, 76600
6, fes, 2042642204975.21, 55.05, 77464
6, fes, 2045958414665.45, 55.66, 78333
6, fes, 2046969525482.02, 56.27, 79176
6, fes, 2046395396462.16, 56.88, 80052
6, fes, 2044647146797.06, 57.49, 80930
6, fes, 2042423223642.29, 58.10, 81799
6, fes, 2044087999055.69, 58.71, 82667
6, fes, 2043369421877.76, 59.32, 83542
6, fes, 2044623834325.11, 59.93, 84410
7, fes, 7251106102133.87, 0.01, 13
7, fes, 1936642102602.91, 0.62, 904
7, fes, 1942285116959.79, 1.23, 1760
7, fes, 2114485782330.91, 1.84, 2650
